nev;orszag;nem;szulev;urido
Eileen Collins;USA;N;1956;36
John Blaha;USA;F;1942;161
Viktor Afanasyev;RUS;F;1948;555
Michael J. McCulley;USA;F;1943;4
Gary Payton;USA;F;1948;3
B. Alvin Drew;USA;F;1962;25
Jean-Pierre Haigneré;FRA;F;1948;209
Valery Bykovsky;URS;F;1934;20
Peter Wisoff;USA;F;1958;44
Nikolai Budarin;RUS;F;1953;445
Daniel Burbank;USA;F;1961;187
Muhammed Faris;SYR;F;1951;7
Sonny Carter;USA;F;1947;5
Helen Sharman;GBR;F;1963;7
Yury Usachov;RUS;F;1957;552
Randolph Bresnik;USA;F;1967;149
Piers Sellers;USA;F;1955;35
Brian Duffy;USA;F;1953;40
Sidney Gutierrez;USA;F;1951;20
Joe Edwards;USA;F;1958;8
Andriyan Nikolayev;URS;F;1929;21
Peggy Whitson;USA;N;1960;665
Kenneth Bowersox;USA;F;1956;212
Reinhold Ewald;GER;F;1956;19
Thomas Reiter;GER;F;1958;350
Vasili Tsibliyev;RUS;F;1954;381
Georgi Dobrovolski;URS;F;1928;23
Gregory C. Johnson;USA;F;1954;12
Anatoly Solovyev;RUS;F;1948;651
John Swigert;USA;F;1931;5
Donald Peterson;USA;F;1933;5
Carl Meade;USA;F;1950;29
Fei Junlong;CHN;F;1965;4
Jack Lousma;USA;F;1936;67
Dumitru Prunariu;ROU;F;1952;7
Albert Sacco;USA;F;1949;15
Christopher Cassidy;USA;F;1970;181
Joseph M. Acaba;USA;F;1967;305
Maurizio Cheli;ITA;F;1959;15
Jean-Loup Chrétien;FRA;F;1938;44
Charles Simonyi;HUN;F;1948;26
Anatoly Artsebarsky;URS;F;1956;144
David Griggs;USA;F;1939;6
Charles Bolden;USA;F;1946;28
Michael Foreman;USA;F;1957;26
Scott D. Tingle;USA;F;1965;168
William Anders;USA;F;1933;6
Brent W. Jett, Jr.;USA;F;1958;41
Shannon Walker;USA;N;1965;163
William Shepherd;USA;F;1949;159
Miroslaw Hermaszewski;POL;F;1941;7
Anatoli Berezovoy;URS;F;1942;211
Mark Vande Hei;USA;F;1966;167
Donald Thomas;USA;F;1955;43
Alexander Volkov;URS;F;1948;391
Terence Henricks;USA;F;1952;42
David Leestma;USA;F;1949;22
Susan Still Kilrain;USA;N;1961;19
Roy Bridges;USA;F;1943;7
Rhea Seddon;USA;N;1947;30
Koichi Wakata;JPN;F;1963;347
Patrick Forrester;USA;F;1957;39
Gregory H. Johnson;USA;F;1962;31
Chen Dong;CHN;F;1978;32
Guy Laliberté;CAN;F;1959;10
Sergei Avdeyev;RUS;F;1956;367
Robert Stewart;USA;F;1942;12
Bernard A. Harris, Jr.;USA;F;1956;18
Charles D. Walker;USA;F;1948;19
Kenneth Reightler;USA;F;1951;13
Richard Mastracchio;USA;F;1960;226
Alan Bean;USA;F;1932;69
Thomas Akers;USA;F;1951;34
Charles Hobaugh;USA;F;1961;35
Rodolfo Neri Vela;MEX;F;1952;6
Michael Coats;USA;F;1946;19
Michael Massimino;USA;F;1962;23
Michael Collins;USA;F;1930;11
Yuri Lonchakov;RUS;F;1965;200
Valentin Lebedev;URS;F;1942;219
Vladimir Titov;URS;F;1947;388
Joan Higginbotham;USA;N;1964;12
Nikolay Rukavishnikov;URS;F;1932;9
Eric A. Boe;USA;F;1964;28
Tracy Caldwell Dyson;USA;N;1969;188
Robert L. Behnken;USA;F;1970;29
Judith Resnik;USA;N;1949;6
Sergei Zalyotin;RUS;F;1962;83
Franco Malerba;ITA;F;1946;7
Nancy J. Currie;USA;N;1958;41
Thomas Marshburn;USA;F;1960;161
Vladimir Lyakhov;URS;F;1941;333
Sergei Krikalev;RUS;F;1958;803
Jeffrey Ashby;USA;F;1954;27
Douglas G. Hurley;USA;F;1966;28
Edgar Mitchell;USA;F;1930;9
Vladimir N. Dezhurov;RUS;F;1962;115
Andrew M. Allen;USA;F;1955;37
Kathryn Thornton;USA;N;1952;40
Rusty Schweickart;USA;F;1935;10
Andrew Thomas;USA;F;1951;177
Takao Doi;JPN;F;1954;31
Gregory Olsen;USA;F;1945;9
Samuel T. Durrance;USA;F;1943;25
Franklin Chang-Diaz;USA;F;1950;66
Nicholas Patrick;USA;F;1964;26
Richard Searfoss;USA;F;1956;39
Norishige Kanai;JPN;F;1976;168
Valery Rozhdestvensky;URS;F;1939;2
Petr Klimuk;URS;F;1942;78
Loren Shriver;USA;F;1944;16
Claude Nicollier;SUI;F;1944;43
Ronald Sega;USA;F;1952;17
S. Christa McAuliffe;USA;N;1948;0
John Young;USA;F;1930;34
